"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
KRITIKA,Kritika Wires Limited,7(2),Hanuman Prasad Agarwal,-,Equity Shares,17837787,6.7,,27000,513081,Sell,Equity Shares,17810787,6.69,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 14:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169188_1231751_24082024023044_WEB.xml
SIGMA,Sigma Solve Limited,7(2),BIREND ZAVERCHAND,-,Equity Shares,Nil,0,,1625126,10,Buy,Equity Shares,1625126,15.81,23-Aug-24,23-Aug-24,23-Aug-24,Inter-se-Transfer,-,-,0,0,0,0,NSE,-,24-08-2024 12:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169186_1231723_24082024124839_WEB.xml
SIGMA,Sigma Solve Limited,7(2),PUJAN ZAVERCHAND,-,Equity Shares,Nil,0,,1625126,10,Buy,Equity Shares,1625126,15.81,23-Aug-24,23-Aug-24,23-Aug-24,Inter-se-Transfer,-,-,0,0,0,0,NSE,-,24-08-2024 12:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169186_1231723_24082024124839_WEB.xml
INDOAMIN,Indo Amines Limited,7(2),Core Chemicals LLP,Other,Equity Shares,899992,1.27,,115000,20375700,Sell,Equity Shares,784992,1.11,21-Aug-24,21-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 11:19,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169183_1231702_24082024111928_WEB.xml
INDOAMIN,Indo Amines Limited,7(2),Core Chemicals LLP,Other,Equity Shares,784992,1.11,,34500,6124785,Sell,Equity Shares,750492,1.06,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 11:19,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169183_1231702_24082024111928_WEB.xml
NILAINFRA,Nila Infrastructures Limited,7(2),RUCHITA SHARMA,Immediate relative,Equity Shares,25000,0,,25000,390000,Sell,Equity Shares,Nil,0,23-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 11:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169181_1231696_24082024111055_WEB.xml
NILAINFRA,Nila Infrastructures Limited,7(2),MADHU SHARMA,Immediate relative,Equity Shares,144128,0.03,,144128,2091777,Sell,Equity Shares,Nil,0,21-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 11:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169181_1231696_24082024111055_WEB.xml
KANANIIND,Kanani Industries Limited,7(2),HARSHIL PREMJIBHAI KANANI,Promoters,Equity Shares,52294694,26.43,,3400000,9905301,Sell,Equity Shares,48894694,24.71,23-Aug-24,23-Aug-24,24-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 10:54,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169179_1231692_24082024105411_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),GHANASHYAM MANOHAR DALVI,-,Equity Shares,3517,0,,3463,1364249,Pledge,Equity Shares,3517,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),MEHULBHAI CHANDRESHBHAI THAKAR,-,Equity Shares,5088,0,,4710,1842552,Pledge,Equity Shares,5088,0,20-Aug-24,20-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),KRISHNA KUMAR SINGH,-,Equity Shares,11974,0,,11974,4684229,Pledge,Equity Shares,11974,0,20-Aug-24,20-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),NIRAVBHAI HARESHBHAI BUCH,-,Equity Shares,34240,0,,34240,13394688,Pledge,Equity Shares,34240,0,20-Aug-24,20-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Anmol Gupta,-,Equity Shares,207482,0.05,,207482,81737534,Pledge,Equity Shares,207482,0.05,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Haryyaksha Ghosh,-,Equity Shares,129655,0.03,,124655,49107837,Pledge,Equity Shares,129655,0.03,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Shrikant Patil,-,Equity Shares,95503,0.07,,95503,37623407,Pledge,Equity Shares,95503,0.07,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Shrikant Patil,-,Equity Shares,95503,0.07,,15100,6190300,Pledge Revoke,Equity Shares,95503,0.07,21-Aug-24,22-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Shrikant Patil,-,Equity Shares,95503,0.02,,15100,6190300,Sell,Equity Shares,80403,0.02,21-Aug-24,22-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Anil Jain,-,Equity Shares,76406,0.02,,76406,27576500,Pledge,Equity Shares,76406,0.02,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Suraj Jayaram Shetty,-,Equity Shares,39450,0.01,,30000,11818500,Pledge,Equity Shares,39450,0.01,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Sreekanth V N,-,Equity Shares,40500,0.01,,24000,9454800,Pledge,Equity Shares,40500,0.01,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Juher Azem,-,Equity Shares,17952,0,,17952,7072190,Pledge,Equity Shares,17952,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Rakesh Chaturvedi,-,Equity Shares,15000,0,,15000,5909250,Pledge,Equity Shares,15000,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Sanjay Moolchandani,-,Equity Shares,23510,0,,14669,5778853,Pledge,Equity Shares,23510,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Ramesh Kumar,-,Equity Shares,13441,0,,13441,5295082,Pledge,Equity Shares,13441,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Mukesh Satanker,-,Equity Shares,13077,0,,13077,5151684,Pledge,Equity Shares,13077,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Pratik Rajendra Jariwala,-,Equity Shares,14939,0,,12636,4977952,Pledge,Equity Shares,14939,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Aniket Rane,-,Equity Shares,6090,0,,6090,2399156,Pledge,Equity Shares,6090,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Amol Gaikwad,-,Equity Shares,4145,0,,4145,1632923,Pledge,Equity Shares,4145,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Ajay Shrivastava,-,Equity Shares,51240,0.02,,51240,20185998,Pledge,Equity Shares,51240,0.02,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),SANDEEP JAIN,-,Equity Shares,79996,0,,79996,312944435,Pledge,Equity Shares,79996,0,20-Aug-24,20-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Rajesh K L,-,Equity Shares,59749,0.02,,59749,23538119,Pledge,Equity Shares,59749,0.02,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Balaji K V,-,Equity Shares,128023,0.03,,128023,50434661,Pledge,Equity Shares,128023,0.03,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Balaji K V,-,Equity Shares,128023,0.03,,68000,26759795,Pledge Revoke,Equity Shares,128023,0.03,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Balaji K V,-,Equity Shares,128023,0.03,,68000,26759795,Sell,Equity Shares,60023,0.01,19-Aug-24,19-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),KUMARESAN C,-,Equity Shares,16699,0.01,,16699,6578571,Pledge,Equity Shares,16699,0.01,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Mridul Misra,-,Equity Shares,70895,0.02,,70518,27780566,Pledge,Equity Shares,70895,0.02,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),PANKAJ KHARE,-,Equity Shares,2666,0,,2289,901752,Pledge,Equity Shares,2666,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),R Anil Kumar Nair,-,Equity Shares,58880,0.02,,58503,23047257,Pledge,Equity Shares,58880,0.02,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),RUPESH AMBAVANE,-,Equity Shares,3929,0,,3479,1370552,Pledge,Equity Shares,3829,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),SATYAM VERMA,-,Equity Shares,32373,0.01,,31996,12604824,Pledge,Equity Shares,32373,0.01,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),SHARAD YASHWANT JAMBUKAR,-,Equity Shares,5479,0,,5102,2009933,Pledge,Equity Shares,5479,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),Sheetal Lobo,-,Equity Shares,14609,0,,12293,4842827,Pledge,Equity Shares,14609,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),VIKAS SAXENA,-,Equity Shares,40210,0.01,,39832,1569182,Pledge,Equity Shares,40210,0.01,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),VINITKUMAR SHAMBHUNATH TIWARI,-,Equity Shares,23717,0.01,,23717,9343312,Pledge,Equity Shares,23717,0.01,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),ASHISH PANDEY,-,Equity Shares,32498,0.01,,32498,12802587,Pledge,Equity Shares,32498,0.01,20-Aug-24,20-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),DEEPIKA RANA,-,Equity Shares,6894,0,,6894,2696933,Pledge,Equity Shares,6894,0,20-Aug-24,20-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),YOGESH PANDEY,-,Equity Shares,9565,0,,9565,3768132,Pledge,Equity Shares,9565,0,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
AADHARHFC,Aadhar Housing Finance Limited,7(2),HUSANI M VADIVALA,-,Equity Shares,8362,0,,7985,312373,Pledge,Equity Shares,8362,0,20-Aug-24,20-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 23:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169177_1231669_23082024112529_WEB.xml
ETHOSLTD,Ethos Limited,7(2),MAHEN DISTRIBUTION LIMITED,Promoters,Equity Shares,1270793,5.19,,6097,20131651,Sell,Equity Shares,1264696,5.17,20-Aug-24,20-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 23:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169175_1231664_23082024110945_WEB.xml
ETHOSLTD,Ethos Limited,7(2),MAHEN DISTRIBUTION LIMITED,Promoters,Equity Shares,1436573,5.87,,165780,554520837,Sell,Equity Shares,1270793,5.19,19-Aug-24,19-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 23:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169175_1231664_23082024110945_WEB.xml
ISHAN,Ishan International Limited,7(2),Shantanu Srivastava,Promoters,Equity Shares,109173330,50.49,,39984000,89000000,Sell,Equity Shares,69189330,32,20-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 23:04,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169173_1231661_23082024110441_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Arun Sitaram Newatia,-,Equity Shares,17874,0.01,,5000,492750,Sell,Equity Shares,12874,0,12-Aug-24,12-Aug-24,12-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169172_1231641_23082024100652_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Jaideep Gupta,-,Equity Shares,95000,0.06,,15000,1520000,Sell,Equity Shares,80000,0.05,21-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169172_1231641_23082024100652_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Samader Singh,-,Equity Shares,35250,0.02,,250,24705,Sell,Equity Shares,35000,0.02,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169172_1231641_23082024100652_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Ramanujan Krishna Kumar,Key Managerial Personnel,Equity Shares,129122,0.09,,45000,4540500,Sell,Equity Shares,84122,0.06,22-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169172_1231641_23082024100652_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Dr. Girish Mehta,-,Equity Shares,180000,0.12,,25000,2612500,Sell,Equity Shares,155000,0.1,23-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169172_1231641_23082024100652_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Suresh Meher,Key Managerial Personnel,Equity Shares,2236,0,,252,25659,Sell,Equity Shares,1984,0,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169172_1231641_23082024100652_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Premranjan Singh,-,Equity Shares,145000,0.09,,5000,506000,Sell,Equity Shares,140000,0.09,22-Aug-24,22-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169172_1231641_23082024100652_WEB.xml
