Name,NSE Symbol,BSE Code,_id,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,Strength Vs Nifty 500 Monthly,SMA 20D,EV To EBITDA,Fixed Assets 3 Years Back,52WH Distance,52WL,Strength Vs Nifty 500 Weekly,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Fixed Assets Latest Year
ABB India Ltd,ABB,500002,ABB,164551,7765.2,Electric Equipment - General - Large,Capital Goods - Electrical Equipment,102,14.5,20.8,53.8,-3.44,26,2.16,-1.85,-13.9,38.3,39,7749,69.1,783,15.1,3995.35,174,0.01,0.02,-1.77,2.6,75,0,33.8,59.1,994
ABM Knowledgeware Ltd,null,531161,531161,289,144.25,Computers - Software - Medium / Small,IT - Software,19.6,3.13,11.6,-3.16,-41.5,1.3,-8.73,2.12,8.7,37.4,4,157,12,51.1,15.6,93.34,15,0,0,0,0,66.9,0,8.84,3,53
ABans Enterprises Ltd,null,512165,512165,206,148,Trading - Medium / Small,Trading,19.8,0.12,5.36,-11.7,392,1.12,4.23,7.95,15.3,25.3,-9,142,9.05,13,25.6,116.9,-43,0.84,0.34,0,-3.27,74.6,0,9.7,22,3.4
ACC Ltd,ACC,500410,ACC,47172,2512,Cement - Major - North India,Cement,23.5,2.37,7.54,207,-61.8,2.89,2.17,7.45,-5.62,0.36,-1,2385,12.4,6694,11.7,1826.75,-7,0.02,0.01,6.71,-4.33,56.7,0,17.5,108,10025
ADC India Communications Ltd,null,523411,523411,899,1955.4,Telecommunications - Equipment - Medium / Small,Telecomm Equipment & Infra Services,32.4,4.94,18.2,382,0.29,12.7,-3.31,2.95,38.4,114,34,2030,22.9,3.26,15.3,698.5,17,0,0,0,0,72,0,39.2,378,2.79
ADF Foods Ltd,ADFFOODS,519183,ADFFOODS,2988,272,Food - Processing - Others,FMCG,39.7,5.64,13.7,16.5,-42.5,6.78,4.43,22,19.8,42.8,-3,260,26.3,77.2,9.81,187.7,-16,0.02,0,3.49,0.05,36.3,-0.18,20.2,12.5,182
AGI Greenpac Ltd,AGI,500187,AGI,5665,875.55,Packaging - Others,Packaging,22.6,2.33,4.79,-3.09,-2.09,3.13,-7.81,1.81,26.3,14.4,-3,919,10.3,1831,19.6,658.2,-8,0.34,0.73,-1.89,0.72,60.2,0,17.5,1.5,1489
AGI Infra Ltd,AGIIL,539042,AGIIL,1109,907.6,Construction - Factories / Offices / Commercial,Realty,20.9,3.75,16.5,5.56,54.3,4.93,-4.18,-11.7,7.48,0.83,9,961,13.1,20.9,19.3,585,4,0.61,0.57,0,0,72.9,0,20.1,18.1,55.1
AGS Transact Technologies Ltd,AGSTRA,543451,AGSTRA,1436,117.43,Computers - Hardware - Large,IT - Hardware,null,1,-11.4,-464,411,3.1,10.7,29.4,47,68.2,2,103,9.46,965,7.35,60.3,5,2.42,2.9,-1.5,0.77,65.5,0.01,1.41,-448,718
AIA Engineering Ltd,AIAENG,532683,AIAENG,40625,4307.1,Castings - Steel / Alloy,"Castings, Forgings & Fastners",36.2,8.92,-8.77,-1.23,-0.41,6.1,1.64,-5.35,8.31,19.1,-3,4366,25.7,811,13,3400,-17,0.07,0.05,0.49,-0.37,58.5,0,21.3,-2.15,1110
AKCapital Services Ltd,null,530499,530499,728,1103.35,Finance - Medium,Finance,7.88,1.41,19.1,3.45,-24.1,1.05,4.04,3.74,0.58,24.8,13,1091,8.11,28.5,6.5,697.4,62,3,1.96,0,0,71.5,0,8.66,2.5,24.7
AMJ Land Holdings Ltd,AMJLAND,500343,AMJLAND,217,52.93,Construction - Housing - Medium / Small,Realty,17.2,3.02,96.2,92.1,-15.4,1.21,-0.28,1.83,32.3,63.1,9,54.1,11,18.6,19,30.8,44,0.08,0.1,0,0.15,65.9,0,8.31,64.5,16.3
APL Apollo Tubes Ltd,APLAPOLLO,533758,APLAPOLLO,40323,1452.95,Steel - Large,Steel,55,2.25,6.82,2.38,13.3,11.2,3.89,3.23,-6.79,-1.47,-7,1430,32.7,1736,18.8,1357.8,-15,0.32,0.28,3.79,6.47,28.3,-2.29,22.4,0.83,3281
ASK Automotive Ltd,ASKAUTOLTD,544022,ASKAUTOLTD,9230,468.2,Auto Ancillaries - Others,Auto Ancillaries,47.2,2.88,22.7,45.2,19,11.3,5.43,12.1,34.1,84.1,null,449,25.9,603,2.1,251.9,null,0.42,0.14,null,null,85,null,22.2,30.6,992
ASM Technologies Ltd,null,526433,526433,1799,1527.8,Computers - Software - Medium / Small,IT - Software,null,8.86,-7.73,-211,184,16.6,4.74,8.42,36.9,61.5,6,1515,133,16.3,8.95,452,31,0.58,0.58,-0.02,0.25,61.5,-1.26,-0.31,-226,49
AU Small Finance Bank Ltd,AUBANK,540611,AUBANK,53448,718.95,Banks - Private Sector,Banks,31.3,4.5,34.2,6.66,35.6,4.25,0.67,17.2,8.73,24.3,-8,675,17.1,477,11.6,566.8,-40,0,6.85,-0.81,-2,22.9,-2.62,2.19,6.58,784
AVG Logistics Ltd,AVG,543910,AVG,627,459.1,Transport - Road,Logistics,26.8,1.25,16.5,151,-77.2,3.38,-0.34,-4.61,-6.86,-22.3,23,464,7.6,63.5,31.3,269.1,101,1.1,1.36,-20,8.42,52.8,-8.46,13.4,82,198
AVP Infracon Ltd,AVPINFRA,null,AVPINFRA,427,171.1,Construction - Civil / Turnkey - Large,Infrastructure Developers & Operators,22.9,2.65,null,null,55.8,4.55,0.23,-3.58,15.8,null,null,173,13.2,null,10.9,69.6,null,0.69,null,null,null,62.3,null,20.5,null,30.6
AVT Natural Products Ltd,AVTNPL,519105,AVTNPL,1405,92.27,Food - Processing - Others,FMCG,27.6,2.71,-3.17,-16.4,-45.6,3,5.09,7.97,5.8,9.78,-18,91,15.8,89,20.2,79.8,-82,0.09,0.17,0,-0.02,75,0,15.2,-15.9,81.7
AWFIS Space Solutions Ltd,AWFIS,544181,AWFIS,4971,708.05,Miscellaneous - Medium / Small,Miscellaneous,null,5.54,null,null,102,-74.7,-6.4,-1.67,46.5,null,null,779,19.2,300,25.2,417,null,2.92,1.74,null,null,28.6,null,6.97,null,916
AXISCADES Technologies Ltd,AXISCADES,532395,AXISCADES,2359,559.8,Computers - Software - Medium / Small,IT - Software,53.3,2.45,14,36.5,86.5,4.03,1.41,9.58,6.15,-0.34,-3,590,16.9,288,34.1,476.2,-12,0.54,0.34,4.54,0.27,60.3,-5.91,11.9,-13.4,414
AYM Syntex Ltd,AYMSYNTEX,508933,AYMSYNTEX,924,182.08,Textiles - Texturising,Textiles,60.3,0.67,0.36,262,-88.3,2.18,10.4,41.9,90.8,128,1,151,9.68,null,0,66.25,10,0.76,null,-0.07,0.01,73.4,-0.46,6.61,466,480
Aadhar Housing Finance Ltd,AADHARHFC,544176,AADHARHFC,20052,466.6,Finance - Housing - Large,Finance,25,7.51,null,null,-0.8,3.7,8.92,18.3,11.1,null,null,417,15.7,53.1,4.18,340.5,null,3.14,3.85,null,null,76.5,null,10.6,null,79.8
Aarnav Fashions Ltd,null,539562,539562,235,55.61,Textiles - Others,Textiles,32.7,0.64,1.95,467,-19.1,1.31,3.85,14.7,47.5,94.2,2,52.4,11.6,0.02,2.1,25.85,11,0.61,0,0,0,67.7,-4.72,6.85,515,134
Aaron Industries Ltd,AARON,null,AARON,283,270.4,Engineering - Light - General - Medium / Small,Capital Goods-Non Electrical Equipment,43,4.36,9.26,14,-19.7,7.91,-2.77,-0.41,1.64,2.31,-4,272,26.3,12.9,17.2,242.5,-23,0.88,0.58,0,0,73.1,-1.92,14.6,11.6,24.4
Aartech Solonics Ltd,AARTECH,542580,AARTECH,255,80.22,Electric Equipment - Switchgears/Relays/Circuits,Capital Goods - Electrical Equipment,151,7.73,82.3,343,374,8.64,1.53,17.1,7.39,57,0,76.6,58.1,0,8.98,44.75,0,0.14,0.1,1.39,0,52.7,0,9,2991,3.8
Aarti Drugs Ltd,AARTIDRUGS,524348,AARTIDRUGS,4870,529.7,Pharmaceuticals - Indian - Bulk Drugs,Pharmaceuticals,31,2.01,-12.1,-12.8,-29.7,3.81,-2.73,6.62,1.63,17,-11,560,17.8,665,16.6,450.5,-25,0.44,0.38,2.65,0.99,55.7,-3.03,14.6,-10,811
Aarti Industries Ltd,AARTIIND,524208,AARTIIND,20736,572,Chemicals - Speciality - Large,Chemicals,43,3.04,6.09,0.83,3.79,3.92,-3.22,-5.18,-15.4,-9.91,0,610,21.7,3593,25.6,452.9,-4,0.61,0.71,3.93,-1.56,43.2,-0.42,6.96,-9.28,5649
Aarti Pharmalabs Ltd,AARTIPHARM,543748,AARTIPHARM,6134,676.9,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,27.2,3.15,0.21,19,-15,3.49,-0.19,15.6,11.7,52.4,4,672,15.4,0,6.21,390,17,0.16,0.08,0.81,-0.37,46.5,0.48,15.6,20.6,1033
Aarti Surfactants Ltd,AARTISURF,543210,AARTISURF,649,767.6,Chemicals - Speciality - Large,Chemicals,35.5,1.11,-1.18,28.9,-52.3,2.98,15.7,21.3,11.8,29.6,-6,655,10.7,187,5.23,575,-31,0.45,1.15,0,0,49.8,0,14.2,38.6,209
Aarvi Encon Ltd,AARVI,null,AARVI,214,144.75,Miscellaneous - Medium / Small,Miscellaneous,20.1,0.51,-2.78,-21.5,-14.1,1.79,-0.19,4.08,4.45,15,-11,147,15.3,10.2,21.4,119.35,-52,0.21,0.04,0,0,73.5,0.07,8.93,-28.5,9.66
Aashka Hospitals Ltd,null,543346,543346,264,112.95,Hospitals / Medical Services,Healthcare,112,11.5,21.2,191,360,2.74,-1.31,6.61,37.7,45.1,3,112,32.4,49.5,10.7,46.99,15,0.21,0.95,0,0,61.3,0,4.91,1503,42.8
Aayush Art and Bullion Ltd,null,540718,540718,264,203,Trading - Medium / Small,Trading,1015,36,-44.5,0,125,11.6,0.64,9.05,79.5,121,26,200,1072,0.22,5.69,40,34,0,0,0,0,7.01,-31.8,0.94,-39,0.12
Aban Offshore Ltd,ABAN,523204,ABAN,453,77.59,Oil Exploration / Allied Services,Crude Oil & Natural Gas,null,1.07,20.8,-0.99,29.9,-0.02,-0.18,0.01,8.97,45,7,80.7,-4367,3191,16.9,45.85,34,-0.64,0,-0.15,-0.04,46,0,2.38,5.06,669
Abans Holdings Ltd,AHL,543712,AHL,2113,421.35,NBFC-Holding Companies,Finance,24.9,1.49,6,19.6,14.4,2.57,-17.5,-28.5,-6.08,51.7,0,554,17.6,20.4,32.6,279,0,1,0.41,-1.47,-1.99,72.1,0,8.14,23.4,20.6
Abbott India Ltd,ABBOTINDIA,500488,ABBOTINDIA,61924,29141.85,Pharmaceuticals - Multinational,Pharmaceuticals,50,10.4,7.31,19.8,14.3,16.7,-2.53,4.34,6.11,2.6,-5,29502,34.8,251,4.52,22435,-27,0.02,0.06,0.13,-0.01,75,0,43.1,19.8,225
Accelya Solutions India Ltd,ACCELYA,532268,ACCELYA,2709,1815.25,Computers - Software - Medium / Small,IT - Software,23.2,5.3,8.96,-26.1,15495,9.6,2.84,5.24,1.76,8.81,-5,1780,15.8,137,14.7,1341,-6,0.12,0.2,0.3,0.07,74.7,0,53,6.92,86.9
Accent Microcell Ltd,ACCENTMIC,null,ACCENTMIC,582,276.35,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,18.8,2.35,null,null,14,3.55,-0.7,2.24,-3.39,16.9,null,279,12.6,31.8,24.1,238.8,null,0.08,0.9,null,null,55.1,null,21.3,null,29
Ace Software Exports Ltd,null,531525,531525,257,402.15,Computers - Software - Medium / Small,IT - Software,43.4,9.48,176,4300,-39,8.56,18.3,14.2,57.9,276,9,340,29.8,7.93,0,21.3,41,0.06,0.08,0,0,75,6.85,18.5,4873,9.95
Action Construction Equipment Ltd,ACE,532762,ACE,15733,1321.15,Engineering - Heavy - Material Handling,Capital Goods-Non Electrical Equipment,45.7,5.25,29.5,76.9,-14.5,12.7,6.92,4.52,-10.5,6.45,24,1283,29.1,417,22.1,684.4,108,0,0.1,-1.66,3.63,65.4,-1.34,37,72.1,563
Adani Energy Solutions Ltd,ADANIENSOL,539254,ADANIENSOL,117786,980.5,Power Generation And Supply,Power Generation & Distribution,78.4,6.49,36.1,-114,-412,5.6,-2.64,-9.66,-3.85,-6.25,0,1027,29.4,26987,27.3,731.95,-5,2.93,2.7,0.15,-4.11,74.9,6.66,8.97,59.3,38920
Adani Enterprises Ltd,ADANIENT,512599,ADANIENT,340279,2984.9,Trading - Large,Trading,79.8,3.33,-12.2,67.9,521,9.66,0.7,-3.99,-8.49,-4.7,-2,3024,28.5,10806,20.3,2190,-11,1.67,0.86,0.56,-7.6,74.7,7.06,8.85,66.4,65738
Adani Green Energy Ltd,ADANIGREEN,541450,ADANIGREEN,305845,1930.8,Power Generation And Supply,Power Generation & Distribution,222,31.5,19.4,18.2,69.4,50.4,3.49,5.45,6.89,1.48,7,1876,39,16429,11.2,869.6,32,6.6,11.4,0,-1.35,57.5,1.24,8.77,5.03,62284
Adani Ports & Special Economic Zone Ltd,ADANIPORTS,532921,ADANIPORTS,311211,1440.7,Miscellaneous - Large,Marine Port & Services,31.1,11.4,24.4,43.6,54.2,5.9,0.33,-3.53,0.7,12.3,7,1470,20.6,48291,11.1,771.8,36,0.93,1.08,0.03,-1.8,65.9,3,12.3,45,73803
Adani Power Ltd,ADANIPOWER,533096,ADANIPOWER,256853,665.95,Power Generation And Supply,Power Generation & Distribution,16.1,4.73,50.6,8.68,42.9,7.84,4.84,-4.51,-10.8,25.6,9,654,11.2,52851,25.7,329.8,45,0.8,4.01,1.39,2.78,72.7,-2.27,28.8,59.3,63016
Adani Total Gas Ltd,ATGL,542066,ATGL,88727,806.75,Gas Distribution,Gas Distribution,129,19.4,3.92,23.5,2.31,24.7,-0.98,-4.88,-14.8,-18.4,-2,837,73.6,1379,35.9,535.65,-5,0.43,0.27,0.01,-1.12,74.8,0,19.6,25.2,3174
Adani Wilmar Ltd,AWL,543458,AWL,47516,365.6,Solvent Extraction - Large,Edible Oil,80,0.91,-6.89,83.1,102,5.71,1.43,0.63,6.16,6.23,-15,368,25.1,3702,10.9,298.5,-77,0.32,0.92,0.19,-0.41,87.9,-0.07,9.73,74,4930
Addictive Learning Technology Ltd,LAWSIKHO,null,LAWSIKHO,559,351.5,Miscellaneous - Medium / Small,Education,77.6,8.5,96.4,192,-7.22,8.17,8.72,24.4,16.4,56,null,334,36.9,null,11.2,213.5,null,0,null,null,null,66.1,null,15.3,294,26.8
Aditya Birla Capital Ltd,ABCAPITAL,540691,ABCAPITAL,58986,226.43,Finance - Investment / Others,Finance,17.2,1.63,25.9,-29.9,-39.5,2.2,4.47,4.79,-5.64,30.3,-3,221,12.6,1244,8.29,159.8,-15,4.11,3.46,0.39,0.47,68.9,-0.21,8.89,-20,1638
Aditya Birla Fashion & Retail Ltd,ABFRL,535755,ABFRL,33614,331.15,Retailing,Retail,null,2.36,11.7,-150,19.3,8.32,5.7,3.66,0.78,59.7,3,318,24.1,5625,5.09,204,17,2.34,1.35,-1.48,5.07,49.3,-6.19,0.31,-109,11863
Aditya Birla Money Ltd,BIRLAMONEY,532974,BIRLAMONEY,837,148.05,Securities/Commodities Trading Services,Stock/ Commodity Brokers,14,1.95,54.1,70.2,-0.61,5.14,-2.65,-6.49,-7.24,47.7,12,156,7.27,23.6,21.7,70.65,54,8.6,7.87,0,0.81,73.5,0,10.2,61.2,35.9
Aditya Birla Sun Life AMC Ltd,ABSLAMC,543374,ABSLAMC,21446,744.05,NBFC-Asset Management Companies,Finance,25.7,15,15.9,22.7,13.1,6.76,2.84,4.98,9.56,55.4,6,742,19.3,77.1,3.99,419.5,24,0.03,0,6.9,2.94,75,-11.5,31,20,111
Aditya Vision Ltd,null,540205,540205,6482,503.8,Trading - Medium / Small,Retail,69.9,3.26,30.6,23.4,576,13.3,-1.63,6.61,31.2,53.7,24,500,34.4,130,12.4,226.77,109,0.65,4,8.11,9.69,53.2,-14.4,18.1,26.5,244
Ador Fontech Ltd,null,530431,530431,498,142.15,Electrodes - Welding Equipment,Capital Goods-Non Electrical Equipment,21.9,2.44,-5.12,16.4,-44.3,3.76,7.73,4.79,3.12,5.02,-3,137,12.9,28.4,16.2,105.9,-16,0,0.06,0,-0.03,39.2,0,23.9,6.6,29.4
Ador Welding Ltd,ADORWELD,517041,ADORWELD,1852,1362.2,Electrodes - Welding Equipment,Capital Goods-Non Electrical Equipment,27.6,2,14.2,11.6,-18.9,5.12,0.72,5.51,-1.48,3.96,-3,1327,17.4,109,23,1074.15,-19,0.12,0.12,7.42,-0.17,56.9,0.04,22,13.8,117
Advait Infratech Ltd,null,543230,543230,1870,1831.7,Construction - Civil / Turnkey - Medium / Small,Infrastructure Developers & Operators,72.4,7.76,97.5,174,-26,25.4,-3.12,-2.33,-3.55,47.7,32,1941,43.7,16.9,19,376.75,128,0.81,0.43,0,0.01,73.5,-0.06,25.9,165,27.8
Advanced Enzyme Technologies Ltd,ADVENZYMES,540025,ADVENZYMES,6149,549.9,Biotechnology,Pharmaceuticals,41.3,9.74,11.3,23.3,17.1,4.66,22.3,28.3,39.2,52,0,471,25.2,604,3.7,304.75,1,0.04,0.03,0.5,-9.87,43,-3.5,13.9,29.6,650
Advani Hotels & Resorts (India) Ltd,ADVANIHOTR,523269,ADVANIHOTR,704,76.2,Hotels - Medium,Hotels & Restaurants,29.4,6.77,4.94,-9.43,-65.9,9.79,-3.54,-3.88,7.58,-4.63,7,76.7,19.3,44.2,16.9,43.45,36,0.02,0.02,-0.05,0.14,50.3,0,45.5,-10.1,44.3
Aegis Logistics Ltd,AEGISLOG,500003,AEGISLOG,28164,802.4,Trading - Medium / Small,Trading,48,4.3,-22.9,30.2,-33.4,7.23,-2.45,7.02,-1.74,110,4,807,25.1,1711,17.3,291.4,20,0.68,0.36,3.31,-0.69,58.1,0.03,14.8,31.4,4139
Aeroflex Industries Ltd,AEROFLEX,543972,AEROFLEX,2537,196.2,Steel - Medium / Small,Steel,58.7,7.81,13.2,18.7,23.7,8.64,5.44,24.2,28.5,56.6,null,181,36.3,43.3,6.53,124,null,0,0.9,null,null,67,null,20.3,24.8,83
Aerpace Industries Ltd,null,534733,534733,721,48.2,Trading - Medium / Small,Trading,null,559,345,-139,-28.6,18.9,10.3,14.2,89.7,332,17,40.7,-804,0,0,2.82,75,0.08,0,0,0,50.7,4.12,-8.63,-133,1.25
Aether Industries Ltd,AETHER,543534,AETHER,13174,993.9,Chemicals - Speciality - Large,Chemicals,143,21.4,-5.37,-36.5,2193,6.37,1.99,10.1,16.3,23.3,-11,932,78.8,null,7.2,791.45,-54,0.09,null,-1.39,1.04,81.8,-0.02,5.87,-24.1,853
Affle India Ltd,AFFLE,542752,AFFLE,22138,1577.65,Computers - Software - Medium / Small,IT - Software,69.8,11.3,31,23.7,-1.03,8.81,-0.16,1.49,25.7,54.3,1,1617,45.9,361,8.01,1025,5,0.07,0.33,2.83,5.32,55.1,-4.76,12.6,26,1144
Affordable Robotic & Automation Ltd,null,541402,541402,722,641.8,Engineering - Heavy - Material Handling,Engineering,112,4.43,43,198,295,6.42,5.29,16.4,5.9,39.5,-2,611,48.2,15.3,11.8,434,-12,0.41,0.48,0,0,55.6,-5.83,7.55,126,12.4
Agarwal Industrial Corporation Ltd,AGARIND,531921,AGARIND,1769,1182.75,Petrochemicals - Others,Petrochemicals,14.7,0.8,6.83,25.5,2.6,3.46,-0.74,-3.74,3.94,37.9,0,1237,10.7,159,11.8,814.4,-2,0.71,0.76,0.42,-0.37,57.2,0,17,21.9,589
Agro Tech Foods Ltd,ATFL,500215,ATFL,1970,808.6,Food - Processing - Others,FMCG,442,2.62,-11.5,-68.7,-86.5,3.94,0.2,-6.42,16.3,16.9,-16,831,63.1,295,25.8,680.8,-52,0.08,0.03,-2.5,-7.18,51.8,0,2.68,-78.2,320
Ahluwalia Contracts (India) Ltd,AHLUCONT,532811,AHLUCONT,7950,1186.85,Construction - Factories / Offices / Commercial,Realty,37.1,1.98,34,72.8,-84.7,4.97,-0.77,-10.1,-2.15,14,15,1245,11.8,123,23.1,675.55,71,0.07,0.08,-2.08,1.5,55.3,0,17.7,2.89,247
Aimtron Electronics Ltd,AIMTRON,null,AIMTRON,1007,493.4,Electronics - Others,Electronics,74.1,10.8,null,null,-7.46,7.26,-0.84,1.43,45.6,null,null,507,41.3,4.68,32.4,253.05,null,0.28,0.12,null,null,71.3,null,30.6,null,22.6
Aion-Tech Solutions Ltd,GOLDTECH,531439,GOLDTECH,403,116.52,Computers - Software - Medium / Small,IT - Software,null,4.37,-6.29,-11050,55.4,6.01,7.19,-3.07,-5.12,-3.66,0,120,270,19.3,32.9,86.3,-3,0.23,0.09,-0.05,0,53.9,0,-0.73,-221,25.6
Airan Ltd,AIRAN,543811,AIRAN,523,41.82,IT Enabled Services / Business Process Outsourcing,IT - Software,16.1,4.84,8,202,354,4.14,5.63,3.51,50.2,74.6,12,39.5,11,57.5,14.3,22.35,7,0.01,0.13,0,0,72.4,-0.05,13.4,181,77.5
Airo Lam Ltd,AIROLAM,null,AIROLAM,208,138.44,Decoratives - Wood-based,Plywood Boards/Laminates,28.5,0.99,8.25,-6.67,24,2.95,5.06,8.48,-4.13,-11.1,-1,134,13.2,11,29.7,107.85,-6,1.13,0.75,0,0,53,0.29,11.1,6.73,35.9
Ajanta Pharma Ltd,AJANTPHARM,532331,AJANTPHARM,39545,3165.8,Pharmaceuticals - Indian - Formulations,Pharmaceuticals,46.4,9.13,13.6,37.5,21.2,11.1,-3.98,5.69,33.1,49.2,13,3199,31.7,1532,9.16,1690,59,0.01,0.01,2.71,-1.83,66.3,0.06,31.1,47.3,1479
Ajanta Soya Ltd,null,519216,519216,383,47.61,Vanaspati - Large,Edible Oil,37.2,0.37,-8.39,196,62.5,2.94,6.56,50.1,65.3,59.1,0,41.2,16.6,34.8,6.65,27.43,0,0,0.04,0,0,47.3,0.1,7.15,197,45
Ajmera Realty & Infra India Ltd,AJMERA,513349,AJMERA,2412,679.85,Construction - Factories / Offices / Commercial,Realty,21.3,3.1,57.2,40.9,11.1,2.79,0.22,-2.84,-3.66,-0.74,15,690,13.2,66,23.4,359.9,69,0.93,1.01,1.29,0.17,74.2,4.46,12.1,39.1,71.4
Akme Fintrade (India) Ltd,AFIL,544200,AFIL,509,119.36,NBFC-Others,Finance,21.1,6.58,11.1,63,37.1,1.43,4.68,5.78,null,null,null,115,11.8,null,10.9,98.6,null,0.92,null,null,null,41.6,null,12.1,51.3,18.9
AksharChem (India) Ltd,AKSHARCHEM,524598,AKSHARCHEM,273,340.2,Dyes - Intermediate,Chemicals,null,0.86,8.22,-55.3,119,1.05,-2.11,8.21,24.9,22.3,0,341,36.7,229,9.27,250.7,-1,0.2,0.05,0,-0.3,62.7,0,-3.81,-24.7,235
Akums Drugs & Pharmaceuticals Ltd,AKUMS,544222,AKUMS,13984,888.5,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,null,null,null,null,255,8.3,2.41,-16.7,null,null,null,903,467,904,24.4,797.5,null,0.8,0.15,null,null,null,null,1.17,null,1191
